kode,nama_perusahaan,tanggal_pencatatan,jumlah_saham,papan_pencatatan,sektor,ticker_yf
DCII,DCI Indonesia Tbk.,2021-01-06,2383745900.0,Pengembangan,Technology,DCII.JK
DEAL,Dewata Freightinternational Tb,2018-11-11,1146170959.0,Pemantauan Khusus,Transportation & Logistics,DEAL.JK
DEFI,Danasupra Erapacific Tbk.,2001-07-06,687266666.0,Pemantauan Khusus,Financials,DEFI.JK
DEPO,Caturkarda Depo Bangunan Tbk.,2021-11-25,6790000000.0,Pengembangan,Consumer Cyclicals,DEPO.JK
DEWA,Darma Henwa Tbk,2007-09-26,21853733792.0,Utama,Energy,DEWA.JK
DEWI,Dewi Shri Farmindo Tbk.,2022-07-18,2000000000.0,Pengembangan,Consumer Non-Cyclicals,DEWI.JK
DFAM,Dafam Property Indonesia Tbk.,2018-04-27,1899852850.0,Pengembangan,Consumer Cyclicals,DFAM.JK
DGIK,Nusa Konstruksi Enjiniring Tbk,2007-12-19,5541165000.0,Pengembangan,Infrastructure,DGIK.JK
DGNS,Diagnos Laboratorium Utama Tbk,2021-01-15,1250000000.0,Pengembangan,Healthcare,DGNS.JK
DIGI,Arkadia Digital Media Tbk.,2018-09-18,1625000000.0,Pemantauan Khusus,Consumer Cyclicals,DIGI.JK
DILD,Intiland Development Tbk.,1991-09-04,10365854185.0,Utama,Properties & Real Estate,DILD.JK
DIVA,Distribusi Voucher Nusantara T,2018-11-27,1428571400.0,Pengembangan,Technology,DIVA.JK
DKFT,Central Omega Resources Tbk.,1997-11-21,5638246600.0,Pengembangan,Basic Materials,DKFT.JK
DLTA,Delta Djakarta Tbk.,1984-02-27,800659050.0,Utama,Consumer Non-Cyclicals,DLTA.JK
DMAS,Puradelta Lestari Tbk.,2015-05-29,48198111100.0,Utama,Properties & Real Estate,DMAS.JK
DMMX,Digital Mediatama Maxima Tbk.,2019-10-21,7692307700.0,Pengembangan,Technology,DMMX.JK
DMND,Diamond Food Indonesia Tbk.,2020-01-22,9468359000.0,Pemantauan Khusus,Consumer Non-Cyclicals,DMND.JK
DNAR,Bank Oke Indonesia Tbk.,2014-07-11,16867292274.0,Pengembangan,Financials,DNAR.JK
DNET,Indoritel Makmur Internasional,2000-12-11,14184000000.0,Pengembangan,Financials,DNET.JK
DOID,Delta Dunia Makmur Tbk.,2001-06-15,7651007132.0,Utama,Energy,DOID.JK
DOOH,Era Media Sejahtera Tbk.,2023-05-08,7737562251.0,Pengembangan,Consumer Cyclicals,DOOH.JK
DOSS,Global Sukses Digital Tbk.,2024-08-07,1725000000.0,Pengembangan,Consumer Cyclicals,DOSS.JK
DPNS,Duta Pertiwi Nusantara Tbk.,1990-08-08,331129952.0,Pengembangan,Basic Materials,DPNS.JK
DPUM,Dua Putra Utama Makmur Tbk.,2015-12-08,4175000000.0,Pemantauan Khusus,Consumer Non-Cyclicals,DPUM.JK
DRMA,Dharma Polimetal Tbk.,2021-12-20,4705882300.0,Utama,Consumer Cyclicals,DRMA.JK
DSFI,Dharma Samudera Fishing Indust,2000-03-24,1857135500.0,Pengembangan,Consumer Non-Cyclicals,DSFI.JK
DSNG,Dharma Satya Nusantara Tbk.,2013-06-14,10599842400.0,Utama,Consumer Non-Cyclicals,DSNG.JK
DSSA,Dian Swastatika Sentosa Tbk,2009-12-10,7705523200.0,Utama,Energy,DSSA.JK
PTDU,Djasa Ubersakti Tbk.,2020-12-08,1500000000.0,Pemantauan Khusus,Infrastructure,PTDU.JK
DUCK,Jaya Bersama Indo Tbk.,2018-10-10,1283330000.0,Pemantauan Khusus,Consumer Cyclicals,DUCK.JK
DUTI,Duta Pertiwi Tbk,1994-11-02,1850000000.0,Pemantauan Khusus,Properties & Real Estate,DUTI.JK
DVLA,Darya-Varia Laboratoria Tbk.,1994-11-11,1120000000.0,Pengembangan,Healthcare,DVLA.JK
DWGL,Dwi Guna Laksana Tbk.,2017-12-13,9252820991.0,Pengembangan,Energy,DWGL.JK
DYAN,Dyandra Media International Tb,2013-03-25,4272964279.0,Pengembangan,Industrials,DYAN.JK
EAST,Eastparc Hotel Tbk.,2019-07-09,4126405336.0,Pengembangan,Consumer Cyclicals,EAST.JK
ECII,Electronic City Indonesia Tbk.,2013-07-03,1334333000.0,Pengembangan,Consumer Cyclicals,ECII.JK
EDGE,Indointernet Tbk.,2021-02-08,2020250000.0,Pengembangan,Technology,EDGE.JK
EKAD,Ekadharma International Tbk.,1990-08-14,3493875000.0,Pengembangan,Basic Materials,EKAD.JK
ELIT,Data Sinergitama Jaya Tbk.,2023-01-06,2031643057.0,Pengembangan,Technology,ELIT.JK
ELPI,Pelayaran Nasional Ekalya Purn,2022-08-08,7412000000.0,Utama,Transportation & Logistics,ELPI.JK
ELSA,Elnusa Tbk.,2008-02-06,7298500000.0,Utama,Energy,ELSA.JK
ELTY,Bakrieland Development Tbk.,1995-10-30,43521913019.0,Pemantauan Khusus,Properties & Real Estate,ELTY.JK
EMDE,Megapolitan Developments Tbk.,2011-01-12,3350000000.0,Pengembangan,Properties & Real Estate,EMDE.JK
EMTK,Elang Mahkota Teknologi Tbk.,2010-01-12,61316751483.0,Utama,Technology,EMTK.JK
ENAK,Champ Resto Indonesia Tbk.,2022-02-08,2166666800.0,Pengembangan,Consumer Cyclicals,ENAK.JK
ENRG,Energi Mega Persada Tbk.,2004-06-07,24821230250.0,Utama,Energy,ENRG.JK
ENVY,Envy Technologies Indonesia Tb,2019-07-08,1800000000.0,Pemantauan Khusus,Technology,ENVY.JK
ENZO,Morenzo Abadi Perkasa Tbk.,2020-09-14,2162547122.0,Pemantauan Khusus,Consumer Non-Cyclicals,ENZO.JK
EPAC,Megalestari Epack Sentosaraya,2020-07-01,3303400000.0,Pemantauan Khusus,Basic Materials,EPAC.JK
EPMT,Enseval Putera Megatrading Tbk,1994-08-01,2708640000.0,Pengembangan,Consumer Non-Cyclicals,EPMT.JK
ERAA,Erajaya Swasembada Tbk.,2011-12-14,15950000000.0,Utama,Consumer Cyclicals,ERAA.JK
ERAL,Sinar Eka Selaras Tbk.,2023-08-08,5187500000.0,Utama,Consumer Cyclicals,ERAL.JK
ERTX,Eratex Djaja Tbk.,1990-08-21,1286539792.0,Pengembangan,Consumer Cyclicals,ERTX.JK
ESIP,Sinergi Inti Plastindo Tbk.,2019-11-14,1109953847.0,Pemantauan Khusus,Basic Materials,ESIP.JK
ESSA,ESSA Industries Indonesia Tbk.,2012-02-01,17226975700.0,Utama,Basic Materials,ESSA.JK
ESTA,Esta Multi Usaha Tbk.,2020-03-09,2425354179.0,Pengembangan,Consumer Cyclicals,ESTA.JK
ESTI,Ever Shine Tex Tbk.,1992-10-13,2015208720.0,Pemantauan Khusus,Consumer Cyclicals,ESTI.JK
ETWA,Eterindo Wahanatama Tbk,1997-05-16,4668671400.0,Pemantauan Khusus,Basic Materials,ETWA.JK
EURO,Estee Gold Feet Tbk.,2022-08-08,2548826428.0,Akselerasi,Consumer Non-Cyclicals,EURO.JK
EXCL,XLSMART Telecom Sejahtera Tbk,2005-09-29,13128430665.0,Utama,Infrastructure,EXCL.JK
FAPA,FAP Agri Tbk.,2021-01-04,3629411800.0,Pengembangan,Consumer Non-Cyclicals,FAPA.JK
FAST,Fast Food Indonesia Tbk.,1993-05-11,3990277158.0,Pengembangan,Consumer Cyclicals,FAST.JK
FASW,Fajar Surya Wisesa Tbk.,1994-12-19,2477888787.0,Pemantauan Khusus,Basic Materials,FASW.JK
FILM,MD Entertainment Tbk.,2018-08-07,9897787962.0,Utama,Consumer Cyclicals,FILM.JK
FIMP,Fimperkasa Utama Tbk.,2021-04-09,400000975.0,Pemantauan Khusus,Infrastructure,FIMP.JK
FIRE,Alfa Energi Investama Tbk.,2017-06-09,1475363179.0,Pengembangan,Energy,FIRE.JK
FISH,FKS Multi Agro Tbk.,2002-01-18,480000000.0,Pemantauan Khusus,Consumer Non-Cyclicals,FISH.JK
FITT,Hotel Fitra International Tbk.,2019-06-11,1304272051.0,Pengembangan,Consumer Cyclicals,FITT.JK
FLMC,Falmaco Nonwoven Industri Tbk.,2021-07-08,781250000.0,Akselerasi,Consumer Non-Cyclicals,FLMC.JK
FMII,Fortune Mate Indonesia Tbk,2000-06-30,6400000000.0,Pengembangan,Properties & Real Estate,FMII.JK
FOLK,Multi Garam Utama Tbk.,2023-08-07,3948141464.0,Pengembangan,Industrials,FOLK.JK
FOOD,Sentra Food Indonesia Tbk.,2019-01-08,650000000.0,Pengembangan,Consumer Non-Cyclicals,FOOD.JK
FORU,Fortune Indonesia Tbk,2002-01-17,465224000.0,Pengembangan,Consumer Cyclicals,FORU.JK
FORZ,Forza Land Indonesia Tbk.,2017-04-28,1984009887.0,Pemantauan Khusus,Properties & Real Estate,FORZ.JK
FPNI,Lotte Chemical Titan Tbk.,2002-03-21,5566414000.0,Pengembangan,Basic Materials,FPNI.JK
FREN,Smartfren Telecom Tbk.,2006-11-29,476703804464.0,Pemantauan Khusus,Infrastructure,FREN.JK
FUJI,Fuji Finance Indonesia Tbk.,2019-07-09,1300000000.0,Pengembangan,Financials,FUJI.JK
FUTR,Futura Energi Global Tbk,2023-02-27,6390108330.0,Pemantauan Khusus,Consumer Cyclicals,FUTR.JK
FWCT,Wijaya Cahaya Timber Tbk.,2023-02-01,1875000000.0,Pengembangan,Basic Materials,FWCT.JK
GAMA,Aksara Global Development Tbk.,2012-07-11,10011027656.0,Pemantauan Khusus,Properties & Real Estate,GAMA.JK
GDST,Gunawan Dianjaya Steel Tbk.,2009-12-23,9242500000.0,Pengembangan,Basic Materials,GDST.JK
GDYR,Goodyear Indonesia Tbk.,1980-12-22,410000000.0,Pengembangan,Consumer Cyclicals,GDYR.JK
GEMA,Gema Grahasarana Tbk.,2002-08-12,1600000000.0,Pengembangan,Consumer Cyclicals,GEMA.JK
GEMS,Golden Energy Mines Tbk.,2011-11-17,5882353000.0,Utama,Energy,GEMS.JK
GGRM,Gudang Garam Tbk.,1990-08-27,1924088000.0,Utama,`,GGRM.JK
GGRP,Gunung Raja Paksi Tbk.,2019-09-19,12111376157.0,Pemantauan Khusus,Basic Materials,GGRP.JK
GHON,Gihon Telekomunikasi Indonesia,2018-04-09,550000000.0,Pengembangan,Infrastructure,GHON.JK
GIAA,Garuda Indonesia (Persero) Tbk,2011-02-11,91480783837.0,Pemantauan Khusus,Transportation & Logistics,GIAA.JK
GJTL,Gajah Tunggal Tbk.,1990-05-08,3484800000.0,Utama,Consumer Cyclicals,GJTL.JK
GLOB,Globe Kita Terang Tbk.,2012-07-10,1111112000.0,Pemantauan Khusus,Consumer Cyclicals,GLOB.JK
GLVA,Galva Technologies Tbk.,2019-12-23,1500000000.0,Pengembangan,Technology,GLVA.JK
GMFI,Garuda Maintenance Facility Ae,2017-10-10,28233511500.0,Pemantauan Khusus,Infrastructure,GMFI.JK
GMTD,Gowa Makassar Tourism Developm,2000-12-11,1015380000.0,Pengembangan,Properties & Real Estate,GMTD.JK
GOLD,Visi Telekomunikasi Infrastruk,2010-07-07,1277276000.0,Pengembangan,Infrastructure,GOLD.JK
GOLF,Intra Golflink Resorts Tbk.,2024-07-08,19486760000.0,Utama,Consumer Cyclicals,GOLF.JK
GOLL,Golden Plantation Tbk.,2014-12-23,3665000759.0,Pemantauan Khusus,Consumer Non-Cyclicals,GOLL.JK
GOOD,Garudafood Putra Putri Jaya Tb,2018-10-10,36897901455.0,Utama,Consumer Non-Cyclicals,GOOD.JK
GOTO,GoTo Gojek Tokopedia Tbk.,2022-04-11,1140573267220.0,Ekonomi Baru,Technology,GOTO.JK
GPRA,Perdana Gapuraprima Tbk.,2007-10-10,4276655336.0,Pengembangan,Properties & Real Estate,GPRA.JK
GPSO,Geoprima Solusi Tbk.,2021-09-06,666741103.0,Pengembangan,Industrials,GPSO.JK
GRIA,Ingria Pratama Capitalindo Tbk,2023-08-08,7375720674.0,Pengembangan,Properties & Real Estate,GRIA.JK
GRPH,Griha Putra Persada Tbk.,2024-01-17,1000000000.0,Pengembangan,Consumer Cyclicals,GRPH.JK
GRPM,Graha Prima Mentari Tbk.,2023-07-10,1545059559.0,Akselerasi,Consumer Non-Cyclicals,GRPM.JK
GSMF,Equity Development Investment,1989-10-23,14230399705.0,Pengembangan,Financials,GSMF.JK
GTBO,Garda Tujuh Buana Tbk,2009-07-09,2500000000.0,Pengembangan,Energy,GTBO.JK
GTRA,Grahaprima Suksesmandiri Tbk.,2023-03-30,1894375000.0,Pengembangan,Transportation & Logistics,GTRA.JK
GTSI,GTS Internasional Tbk.,2021-09-08,15819142767.0,Pemantauan Khusus,Energy,GTSI.JK
GULA,Aman Agrindo Tbk.,2022-08-03,1070362500.0,Pengembangan,Consumer Non-Cyclicals,GULA.JK
GUNA,Gunanusa Eramandiri Tbk.,2024-07-09,2500000000.0,Pengembangan,Consumer Non-Cyclicals,GUNA.JK
GWSA,Greenwood Sejahtera Tbk.,2011-12-23,7800760000.0,Utama,Consumer Cyclicals,GWSA.JK
GZCO,Gozco Plantations Tbk.,2008-05-15,6000000000.0,Pengembangan,Consumer Non-Cyclicals,GZCO.JK
HADE,Himalaya Energi Perkasa Tbk.,2004-04-12,2120000000.0,Pemantauan Khusus,Infrastructure,HADE.JK
HAIS,Hasnur Internasional Shipping,2021-09-01,2626250000.0,Pengembangan,Transportation & Logistics,HAIS.JK
HAJJ,Arsy Buana Travelindo Tbk.,2023-04-05,2290526380.0,Akselerasi,Consumer Cyclicals,HAJJ.JK
HALO,Haloni Jane Tbk.,2023-02-08,5650014381.0,Pengembangan,Healthcare,HALO.JK
HATM,Habco Trans Maritima Tbk.,2022-07-26,7000000000.0,Utama,Transportation & Logistics,HATM.JK
HBAT,Minahasa Membangun Hebat Tbk.,2023-08-07,1040740800.0,Akselerasi,Properties & Real Estate,HBAT.JK
HDFA,Radana Bhaskara Finance Tbk.,2011-05-10,6542445783.0,Pengembangan,Financials,HDFA.JK
HDIT,Hensel Davest Indonesia Tbk.,2019-07-12,1524680000.0,Pemantauan Khusus,Technology,HDIT.JK
HDTX,Panasia Indo Resources Tbk.,1990-06-06,3601462800.0,Pemantauan Khusus,Consumer Cyclicals,HDTX.JK
HEAL,Medikaloka Hermina Tbk.,2018-05-16,15365950000.0,Utama,Healthcare,HEAL.JK
HELI,Jaya Trishindo Tbk.,2018-03-27,832862387.0,Pengembangan,Transportation & Logistics,HELI.JK
HERO,DFI Retail Nusantara Tbk,1989-08-21,4183634000.0,Pengembangan,Consumer Non-Cyclicals,HERO.JK
HEXA,Hexindo Adiperkasa Tbk.,1995-02-13,840000000.0,Utama,Industrials,HEXA.JK
HILL,Hillcon Tbk.,2023-03-01,2948300000.0,Utama,Energy,HILL.JK
HITS,Humpuss Intermoda Transportasi,1997-12-15,7101084801.0,Utama,Energy,HITS.JK
HKMU,HK Metals Utama Tbk.,2018-10-09,3221750000.0,Pemantauan Khusus,Basic Materials,HKMU.JK
HMSP,H.M. Sampoerna Tbk.,1990-08-15,116318076900.0,Pengembangan,Consumer Non-Cyclicals,HMSP.JK
HOKI,Buyung Poetra Sembada Tbk.,2017-06-22,9677752680.0,Utama,Consumer Non-Cyclicals,HOKI.JK
HOME,Hotel Mandarine Regency Tbk.,2008-07-17,22212194782.0,Pemantauan Khusus,Consumer Cyclicals,HOME.JK
HOMI,Grand House Mulia Tbk.,2020-09-10,1575000000.0,Pengembangan,Properties & Real Estate,HOMI.JK
HOPE,Harapan Duta Pertiwi Tbk.,2021-05-24,2130360203.0,Pemantauan Khusus,Industrials,HOPE.JK
HOTL,Saraswati Griya Lestari Tbk.,2013-01-10,3550001452.0,Pemantauan Khusus,Consumer Cyclicals,HOTL.JK
HRME,Menteng Heritage Realty Tbk.,2019-04-12,5958750000.0,Pemantauan Khusus,Consumer Cyclicals,HRME.JK
HRTA,Hartadinata Abadi Tbk.,2017-06-21,4605262400.0,Utama,Consumer Cyclicals,HRTA.JK
HRUM,Harum Energy Tbk.,2010-10-06,13518100000.0,Utama,Energy,HRUM.JK
HUMI,Humpuss Maritim Internasional,2023-08-09,18046497883.0,Utama,Energy,HUMI.JK
HYGN,Ecocare Indo Pasifik Tbk.,2024-02-13,2525000000.0,Pengembangan,Industrials,HYGN.JK
IATA,MNC Energy Investments Tbk.,2006-09-13,25238245486.0,Pemantauan Khusus,Energy,IATA.JK
IBFN,Intan Baru Prana Tbk.,2014-12-22,1517332349.0,Pemantauan Khusus,Industrials,IBFN.JK
IBOS,Indo Boga Sukses Tbk.,2022-04-25,8065789529.0,Akselerasi,Consumer Non-Cyclicals,IBOS.JK
IBST,Inti Bangun Sejahtera Tbk.,2012-08-31,1350904927.0,Pemantauan Khusus,Infrastructure,IBST.JK
ICBP,Indofood CBP Sukses Makmur Tbk,2010-10-07,11661908000.0,Utama,Consumer Non-Cyclicals,ICBP.JK
ICON,Island Conces Indonesia Tbk.,2005-07-08,1089750000.0,Pemantauan Khusus,Industrials,ICON.JK
IDEA,Idea Indonesia Akademi Tbk.,2021-09-09,1062437500.0,Akselerasi,Consumer Cyclicals,IDEA.JK
IDPR,Indonesia Pondasi Raya Tbk.,2015-12-10,2003000000.0,Pengembangan,Infrastructure,IDPR.JK
IFII,Indonesia Fibreboard Industry,2019-12-10,9412000000.0,Pengembangan,Basic Materials,IFII.JK
IFSH,Ifishdeco Tbk.,2019-12-05,2125000000.0,Pengembangan,Basic Materials,IFSH.JK
IGAR,Champion Pacific Indonesia Tbk,1990-11-05,972204500.0,Pengembangan,Basic Materials,IGAR.JK
IIKP,Inti Agri Resources Tbk,2002-10-14,33600000000.0,Pemantauan Khusus,Consumer Cyclicals,IIKP.JK
IKAI,Intikeramik Alamasri Industri,1997-06-04,13305799387.0,Pemantauan Khusus,Industrials,IKAI.JK
IKAN,Era Mandiri Cemerlang Tbk.,2020-02-12,833333000.0,Pemantauan Khusus,Consumer Non-Cyclicals,IKAN.JK
IKBI,Sumi Indo Kabel Tbk.,1991-01-21,1224000000.0,Pengembangan,Industrials,IKBI.JK
IKPM,Ikapharmindo Putramas Tbk.,2023-11-08,1684662500.0,Pengembangan,Healthcare,IKPM.JK
IMAS,Indomobil Sukses Internasional,1993-11-15,3994291039.0,Utama,Consumer Cyclicals,IMAS.JK
IMJS,Indomobil Multi Jasa Tbk.,2013-12-10,8654325000.0,Pengembangan,Transportation & Logistics,IMJS.JK
IMPC,Impack Pratama Industri Tbk.,2014-12-17,54268500000.0,Utama,Industrials,IMPC.JK
INAF,Indofarma Tbk.,2001-04-17,3099267500.0,Pemantauan Khusus,Healthcare,INAF.JK
INAI,Indal Aluminium Industry Tbk.,1994-12-05,633600000.0,Pengembangan,Basic Materials,INAI.JK
INCF,Indo Komoditi Korpora Tbk.,2016-09-06,1438370465.0,Pemantauan Khusus,Basic Materials,INCF.JK
INCI,Intanwijaya Internasional Tbk,1990-07-24,207656617.0,Pengembangan,Basic Materials,INCI.JK
INCO,Vale Indonesia Tbk.,1990-05-16,10539784534.0,Utama,Basic Materials,INCO.JK
INDF,Indofood Sukses Makmur Tbk.,1994-07-14,8780426500.0,Utama,Consumer Non-Cyclicals,INDF.JK
INDO,Royalindo Investa Wijaya Tbk.,2020-01-13,4382904690.0,Pengembangan,Properties & Real Estate,INDO.JK
INDR,Indo-Rama Synthetics Tbk.,1990-08-03,654351707.0,Pengembangan,Consumer Cyclicals,INDR.JK
INDS,Indospring Tbk.,1990-08-10,6562497100.0,Pengembangan,Consumer Cyclicals,INDS.JK
INDX,Tanah Laut Tbk,2001-05-17,437913588.0,Pengembangan,Industrials,INDX.JK
INDY,Indika Energy Tbk.,2008-06-11,5210192000.0,Utama,Energy,INDY.JK
INET,Sinergi Inti Andalan Prima Tbk,2023-07-24,7500065093.0,Pengembangan,Infrastructure,INET.JK
INKP,Indah Kiat Pulp & Paper Tbk.,1990-07-16,5470982941.0,Utama,Basic Materials,INKP.JK
INOV,Inocycle Technology Group Tbk.,2019-07-10,1808221900.0,Pengembangan,Consumer Cyclicals,INOV.JK
INPC,Bank Artha Graha Internasional,1990-08-23,20021178779.0,Utama,Financials,INPC.JK
INPP,Indonesian Paradise Property T,2004-01-12,11181971732.0,Pengembangan,Properties & Real Estate,INPP.JK
INPS,Indah Prakasa Sentosa Tbk.,2018-04-06,650000000.0,Pengembangan,Energy,INPS.JK
INRU,Toba Pulp Lestari Tbk.,1990-06-18,1388883283.0,Pengembangan,Basic Materials,INRU.JK
INTA,Intraco Penta Tbk.,1993-08-23,3343935022.0,Pemantauan Khusus,Industrials,INTA.JK
INTD,Inter Delta Tbk,1989-12-18,591828000.0,Pengembangan,Basic Materials,INTD.JK
INTP,Indocement Tunggal Prakarsa Tb,1989-12-05,3681231699.0,Utama,Basic Materials,INTP.JK
IOTF,Sumber Sinergi Makmur Tbk.,2023-10-06,5290298067.0,Pengembangan,Technology,IOTF.JK
IPAC,Era Graharealty Tbk.,2021-06-30,949868500.0,Akselerasi,Properties & Real Estate,IPAC.JK
IPCC,Indonesia Kendaraan Terminal T,2018-07-09,1818384820.0,Utama,Infrastructure,IPCC.JK
IPCM,Jasa Armada Indonesia Tbk.,2017-12-22,5284811100.0,Pengembangan,Infrastructure,IPCM.JK
IPOL,Indopoly Swakarsa Industry Tbk,2010-07-09,6443379509.0,Pengembangan,Basic Materials,IPOL.JK
IPPE,Indo Pureco Pratama Tbk.,2021-12-09,4600000000.0,Pemantauan Khusus,Consumer Non-Cyclicals,IPPE.JK
IRRA,Itama Ranoraya Tbk.,2019-10-15,1600000000.0,Pengembangan,Healthcare,IRRA.JK
IRSX,Folago Global Nusantara Tbk,2023-02-07,5000351992.0,Pemantauan Khusus,Technology,IRSX.JK
PTIS,Indo Straits Tbk.,2011-07-12,550165300.0,Pengembangan,Energy,PTIS.JK
ISAP,Isra Presisi Indonesia Tbk.,2022-12-09,4020080927.0,Akselerasi,Consumer Cyclicals,ISAP.JK
ISAT,Indosat Tbk.,1994-10-19,32250810957.0,Utama,Infrastructure,ISAT.JK
ISEA,Indo American Seafoods Tbk.,2024-07-08,1390000000.0,Pengembangan,Consumer Non-Cyclicals,ISEA.JK
ISSP,Steel Pipe Industry of Indones,2013-02-22,7185992035.0,Utama,Basic Materials,ISSP.JK
ITIC,Indonesian Tobacco Tbk.,2019-07-04,940720000.0,Pengembangan,Consumer Non-Cyclicals,ITIC.JK
ITMA,Sumber Energi Andalan Tbk.,1990-12-10,999053167.0,Pengembangan,Energy,ITMA.JK
ITMG,Indo Tambangraya Megah Tbk.,2007-12-18,1129925000.0,Utama,Energy,ITMG.JK
IPTV,MNC Vision Networks Tbk.,2019-07-08,42197950841.0,Pemantauan Khusus,Consumer Cyclicals,IPTV.JK
JARR,Jhonlin Agro Raya Tbk.,2022-08-04,9230665050.0,Utama,Consumer Non-Cyclicals,JARR.JK
JAST,Jasnita Telekomindo Tbk.,2019-05-16,1082575738.0,Pemantauan Khusus,Infrastructure,JAST.JK
JATI,Informasi Teknologi Indonesia,2023-05-08,3262520106.0,Pengembangan,Technology,JATI.JK
JAWA,Jaya Agra Wattie Tbk.,2011-05-30,16232951842.0,Pengembangan,Consumer Non-Cyclicals,JAWA.JK
JAYA,Armada Berjaya Trans Tbk.,2019-02-21,798499394.0,Pengembangan,Transportation & Logistics,JAYA.JK
JECC,Jembo Cable Company Tbk.,1992-11-18,756000000.0,Pengembangan,Industrials,JECC.JK
JGLE,Graha Andrasentra Propertindo,2016-06-29,22581909405.0,Pemantauan Khusus,Consumer Cyclicals,JGLE.JK
JIHD,Jakarta International Hotels &,1984-02-29,2329040482.0,Pemantauan Khusus,Consumer Cyclicals,JIHD.JK
JKON,Jaya Konstruksi Manggala Prata,2007-12-04,16308519860.0,Utama,Infrastructure,JKON.JK
JKSW,Jakarta Kyoei Steel Works Tbk.,1997-08-06,150000000.0,Pemantauan Khusus,Basic Materials,JKSW.JK
JMAS,Asuransi Jiwa Syariah Jasa Mit,2017-12-18,1000000000.0,Pengembangan,Financials,JMAS.JK
JPFA,Japfa Comfeed Indonesia Tbk.,1989-10-23,11726575201.0,Utama,Consumer Non-Cyclicals,JPFA.JK
JRPT,Jaya Real Property Tbk.,1994-06-29,13750000000.0,Pengembangan,Properties & Real Estate,JRPT.JK
JSPT,Jakarta Setiabudi Internasiona,1998-01-12,2318736000.0,Pengembangan,Consumer Cyclicals,JSPT.JK
JSKY,Sky Energy Indonesia Tbk.,2018-03-28,2032540000.0,Pemantauan Khusus,Energy,JSKY.JK
JSMR,Jasa Marga (Persero) Tbk.,2007-11-12,7257871200.0,Utama,Infrastructure,JSMR.JK
JTPE,Jasuindo Tiga Perkasa Tbk.,2002-04-16,6852050000.0,Utama,Industrials,JTPE.JK
KAEF,Kimia Farma Tbk.,2001-07-04,5566584590.0,Pengembangan,Healthcare,KAEF.JK
KARW,Meratus Jasa Prima Tbk.,1994-12-20,587152700.0,Pemantauan Khusus,Infrastructure,KARW.JK
KAYU,Darmi Bersaudara Tbk.,2019-07-04,665000000.0,Pemantauan Khusus,Basic Materials,KAYU.JK
KBAG,Karya Bersama Anugerah Tbk.,2020-04-08,7150002603.0,Pemantauan Khusus,Properties & Real Estate,KBAG.JK
KBLI,KMI Wire & Cable Tbk.,1992-07-06,4007235107.0,Utama,Industrials,KBLI.JK
KBLM,Kabelindo Murni Tbk.,1992-06-01,1120000000.0,Pengembangan,Industrials,KBLM.JK
KBLV,First Media Tbk.,2000-02-25,1742167907.0,Pemantauan Khusus,Infrastructure,KBLV.JK
KBRI,Kertas Basuki Rachmat Indonesi,2008-07-11,8687995734.0,Pemantauan Khusus,Basic Materials,KBRI.JK
KDSI,Kedawung Setia Industrial Tbk.,1996-07-29,1620000000.0,Pengembangan,Basic Materials,KDSI.JK
KDTN,Puri Sentul Permai Tbk.,2022-11-09,1250023298.0,Pengembangan,Consumer Cyclicals,KDTN.JK
KEEN,Kencana Energi Lestari Tbk.,2019-09-02,3666312500.0,Utama,Infrastructure,KEEN.JK
KEJU,Mulia Boga Raya Tbk.,2019-11-25,1500000000.0,Pengembangan,Consumer Non-Cyclicals,KEJU.JK
KETR,Ketrosden Triasmitra Tbk.,2021-01-11,2841262838.0,Pengembangan,Infrastructure,KETR.JK
KIAS,Keramika Indonesia Assosiasi T,1994-12-08,14929100000.0,Pemantauan Khusus,Industrials,KIAS.JK
KICI,Kedaung Indah Can Tbk,1993-10-28,276000000.0,Pengembangan,Consumer Cyclicals,KICI.JK
KIJA,Kawasan Industri Jababeka Tbk.,1995-01-10,20824888369.0,Utama,Properties & Real Estate,KIJA.JK
KING,Hoffmen Cleanindo Tbk.,2023-02-16,2600207425.0,Akselerasi,Industrials,KING.JK
KINO,Kino Indonesia Tbk.,2015-12-11,1428571500.0,Pengembangan,Consumer Non-Cyclicals,KINO.JK
KIOS,Kioson Komersial Indonesia Tbk,2017-10-05,1075862960.0,Pengembangan,Technology,KIOS.JK
KJEN,Krida Jaringan Nusantara Tbk.,2019-07-01,500000000.0,Pengembangan,Transportation & Logistics,KJEN.JK
KKES,Kusuma Kemindo Sentosa Tbk.,2022-08-08,1500000000.0,Pemantauan Khusus,Basic Materials,KKES.JK
KKGI,Resource Alam Indonesia Tbk.,1991-07-01,5000000000.0,Utama,Energy,KKGI.JK
KLAS,Pelayaran Kurnia Lautan Semest,2023-06-12,3644415975.0,Pengembangan,Transportation & Logistics,KLAS.JK
KLBF,Kalbe Farma Tbk.,1991-07-30,46875122110.0,Utama,Healthcare,KLBF.JK
KLIN,Klinko Karya Imaji Tbk.,2022-08-09,1307530330.0,Pemantauan Khusus,Consumer Cyclicals,KLIN.JK
KMDS,Kurniamitra Duta Sentosa Tbk.,2020-09-07,800000000.0,Pengembangan,Consumer Non-Cyclicals,KMDS.JK
KMTR,Kirana Megatara Tbk.,2017-06-19,8215366379.0,Pengembangan,Basic Materials,KMTR.JK
